2010 Families by family type and poverty status, wgtd 2008-10 ACS, SSDAN/U-Mich
4
RaceEth,AgeAll4,FamType,Pov
7,6,3,2
NHWhite, Black, Asian, Hispanic, AmIndian, NHOther, NHMulti
<25, 25-34, 35-44, 45-54, 55-64, 65+
MrrdCpl,MaleFam,FemFam
Poverty,NonPov
82097,539478,45600,131234,226723,157027,
291775,5011665,83634,437647,523518,723487,
298689,7931019,88730,599255,435863,1284116,
279686,9828919,80193,717677,266834,1457799,
261713,8767713,35327,381014,106237,809651,
260894,8813656,21989,335537,95752,1155355,
11260,43048,27093,42951,190617,99421,
59280,464898,44410,121918,496556,485794,
69140,862043,42918,154892,358188,701891,
64058,959001,38526,147745,221818,605380,
47881,724085,20746,82349,100852,352017,
39387,531999,13672,78363,87128,343275,
3867,17721,7175,15923,8606,14265,
29481,447013,6547,50886,17424,55770,
51847,785225,5542,47966,27941,84247,
44682,664229,5155,41686,20146,94032,
31560,440539,2606,24709,8841,58645,
29927,286989,1594,15660,5656,43491,
50803,164794,31128,93008,119925,85243,
282998,1146673,74336,284395,333718,319033,
289198,1582864,58617,238779,289067,416858,
133326,1272436,30962,165934,136929,358873,
73575,726630,11790,70084,51227,178515,
64004,494270,9107,47295,32852,147956,
1233,7368,2153,3346,8741,5401,
9155,43692,3477,8559,18995,18836,
9737,66982,4672,10219,17660,26897,
9587,73429,3735,10706,11304,24338,
5893,58884,1461,7049,6268,13670,
3473,35828,1071,4632,4562,13767,
128,1906,263,759,985,1040,
1211,17225,564,2741,2921,3868,
1213,24127,386,3258,2633,6143,
1260,20263,400,1822,1130,5442,
739,11535,162,911,909,2904,
315,5746,0,444,321,1673,
2933,11690,2175,5731,12847,9456,
9532,100434,3309,14893,27864,34795,
7539,132111,2569,15353,18100,39694,
6659,124944,2974,14789,11025,33567,
4845,90207,1102,6673,4342,18189,
3352,63002,344,5494,2310,17939
*****
