2010 Family type by poverty status for Hispanic groups, all ages, wgtd 2008-10 ACS, SSDAN/U-Mich
4
Hispanic,AgeAll4,FamType,Pov
6,6,3,2
Mexican, PRican, Cuban, CAmeric, SAmeric, Other
<25, 25-34, 35-44, 45-54, 55-64, 65+
MrrdCpl,MaleFam,FemFam
Poverty,NonPov
41878,123537,22766,66276,84355,55951,
237280,794677,54402,193804,223974,195477,
231256,1036466,43130,154710,182787,236923,
98060,790154,20454,100848,76593,190584,
50186,445831,7362,42602,28668,95230,
37965,273173,5683,29439,19200,86534,
2612,11566,2907,6906,21893,10544,
11168,92112,5935,20930,54937,49763,
11178,133663,4986,18265,43844,64897,
8047,114224,3429,16257,23902,47963,
6640,75312,2121,8114,9556,26387,
5704,54295,1220,5453,6305,17228,
876,3472,429,1549,2280,2379,
3068,31645,720,4718,5344,7453,
6855,68348,1152,7515,6754,16273,
4227,71464,830,8419,4038,16971,
4454,43076,116,3985,2334,8541,
8338,57720,602,4084,1939,13956,
3530,17058,4193,14337,10726,11798,
24729,132773,11568,49398,44339,48467,
29655,182001,7429,39264,46785,67926,
14770,147222,4447,23828,23680,64851,
6839,70274,1377,8142,8798,29326,
5432,28032,1142,3207,3908,13640,
965,6705,870,4238,1621,5071,
6872,81165,1883,15674,9078,19157,
10044,126774,2169,15568,12288,29122,
8142,110393,1195,14991,8358,34850,
4157,61262,1020,6408,2386,16691,
4165,40146,250,3433,1220,9748,
1702,6553,884,2804,5121,3856,
5730,44615,1932,7494,12343,15001,
5886,75353,1509,11022,10635,22497,
4339,72767,1781,8469,6731,19753,
3425,52310,376,4129,2872,10630,
4327,53201,578,3424,1933,12815
*****
