2008 Family type by poverty status for Hispanic groups, all ages, wgtd 2006-08 ACS, SSDAN/U-Mich
4
Hispanic,AgeAll4,FamType,Pov
6,6,3,2
Mexican, PRican, Cuban, CAmeric, SAmeric, Other
<25, 25-34, 35-44, 45-54, 55-64, 65+
MrrdCpl,MaleFam,FemFam
Poverty,NonPov
36138,120301,18169,70829,55347,46592,
209383,854784,41906,204751,161160,171419,
192034,1023964,28569,158309,133470,205449,
78131,713867,13686,96042,58142,165619,
40008,382115,5761,37234,22090,76250,
36032,249666,3977,27184,16472,74794,
1832,9790,1996,5965,15616,9746,
7976,90189,3816,18452,41194,44548,
9862,126768,3765,17335,38802,62119,
7126,107092,2000,13715,17783,42755,
4974,69598,1187,7771,9027,22465,
5972,49980,804,4541,6048,14796,
454,3811,675,1459,1270,2300,
1671,32476,425,4221,3508,6948,
4376,70279,972,8919,4457,15147,
2357,61283,556,7664,3332,13429,
2889,39863,315,3878,1302,8658,
9780,59677,331,3674,1477,12643,
2367,13785,2161,11639,6160,10655,
16317,125929,7500,47428,30451,39114,
20067,177086,5453,37731,39683,62356,
10292,123695,2990,24592,18199,58622,
5105,57619,867,8063,6270,23258,
4814,24441,817,2255,2424,12240,
690,6178,538,4916,1406,4124,
5951,74601,1308,14909,4979,16859,
7880,117391,1795,14960,8683,27334,
5335,94586,883,13850,5437,29032,
2558,53023,571,5521,1756,12986,
3533,31841,177,2492,871,7296,
1621,8808,1217,4196,7079,4938,
6876,67016,2290,10987,15226,19033,
6518,99724,2282,14173,13808,31755,
4864,89130,1722,10748,7257,27279,
3547,64260,826,5792,2808,12112,
4454,58315,462,3766,2725,14649
*****
