FPOVLAT2K: 2000 Family type by poverty status for Latino groups, all ages, wgtd 1% PUMS, Frey/U-Mich for SSDAN - not for commercial purposes
4
Latino,Age,FamType,Pov
6,6,3,2
Mexican,PRican,Cuban,CAmeric,SAmeric,Other
<25,25-34,35-44,45-54,55-64,65+
Mrrdcpl,MaleFam,FemlFam
Poverty,NonPov
48688,134632,19435,63951,46603,30698,
181636,734725,31333,128274,85884,106041,
153348,735358,23499,90236,83461,125794,
61798,473289,9376,53290,34023,97366,
27653,226043,4884,20237,15844,47123,
28065,176540,3743,18157,12511,57457,
4271,17949,3437,4647,22083,13373,
11351,90122,4634,12741,41607,41634,
10334,111973,2795,12324,30705,52183,
8136,87936,1834,8603,15718,36815,
6408,50762,1303,3180,8806,15438,
3190,36256,668,3189,4499,15782,
433,2983,673,1421,832,1567,
2475,36958,0,4265,2583,4963,
4619,61210,1677,6558,3922,10087,
3099,43232,1365,5267,1623,8982,
3006,41522,1252,2406,1131,6767,
7566,55614,614,2837,2114,11731,
2717,12806,2212,8449,6766,6314,
15068,97056,4762,23245,21676,21455,
15512,107210,3226,17198,22235,33550,
7682,66709,1792,10242,9671,27454,
2254,24741,462,4065,3119,9614,
897,11960,284,2044,2621,8093,
1558,4533,1123,2445,1507,2990,
6259,45558,968,9269,4783,8268,
8860,73123,1500,8116,6168,14540,
4232,49762,679,4871,3914,10850,
2113,27721,110,2717,566,6142,
1645,13071,74,1291,721,5423,
6676,29177,3256,10118,13814,10947,
24910,154135,6735,23159,34193,38461,
27440,180119,5788,21311,32448,52316,
12824,142416,3008,14260,13638,38155,
7862,69527,773,6991,6325,19436,
6622,70727,1123,5572,5111,22095
*****
